DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Address,Borough Name,Community Board,Council District ,Census Tract,NTA,Precinct,Population
01M292,0.563,0.519,0.507,0.4,0.58,0.32,0.43,0.41,220 HENRY STREET,MANHATTAN,3.0,1.0,201,Lower East Side,7.0,56355.0
01M448,0.7070000000000001,0.363,0.7440000000000001,0.6729999999999999,0.78,0.55,0.8,0.52,200 MONROE STREET,MANHATTAN,3.0,1.0,202,Lower East Side,7.0,56355.0
01M450,0.716,0.6920000000000001,0.727,0.557,0.76,0.58,0.82,0.69,420 EAST 12 STREET,MANHATTAN,3.0,2.0,34,East Village,9.0,76443.0
01M509,0.564,0.47700000000000004,0.595,0.479,0.36,0.38,0.48,0.26,145 STANTON STREET,MANHATTAN,3.0,1.0,"3,001",Chinatown,7.0,56355.0
01M539,0.953,0.87,0.975,0.828,0.98,0.84,0.95,0.89,111 COLUMBIA STREET,MANHATTAN,3.0,2.0,"2,201",Lower East Side,7.0,56355.0
01M696,0.976,0.9570000000000001,0.966,0.968,0.98,0.94,1.0,0.93,525 EAST HOUSTON STREET,MANHATTAN,3.0,2.0,"1,002",Lower East Side,7.0,56355.0
02M047,0.696,0.47100000000000003,0.5479999999999999,0.304,0.71,0.42,0.69,0.62,223 EAST 23 STREET,MANHATTAN,6.0,2.0,64,Gramercy,13.0,93640.0
02M288,0.82,0.627,0.773,0.596,0.84,0.53,0.77,0.49,525 WEST  50TH STREET,MANHATTAN,4.0,3.0,135,Clinton,18.0,54066.0
02M294,0.675,0.483,0.774,0.613,0.65,0.49,0.71,0.4,350 GRAND STREET,MANHATTAN,3.0,1.0,18,Chinatown,7.0,56355.0
02M296,0.7929999999999999,0.56,0.784,0.42700000000000005,0.66,0.52,0.73,0.47,525 WEST  50TH STREET,MANHATTAN,4.0,3.0,135,Clinton,18.0,54066.0
02M298,0.915,0.7959999999999999,0.8690000000000001,0.787,0.89,0.69,0.94,0.68,100 HESTER STREET,MANHATTAN,3.0,1.0,16,Chinatown,5.0,52568.0
02M300,0.6629999999999999,0.475,0.61,0.465,0.55,0.55,0.65,0.43,525 WEST  50TH STREET,MANHATTAN,4.0,3.0,135,Clinton,18.0,54066.0
02M303,0.5529999999999999,0.5,0.652,0.434,0.62,0.52,0.72,0.49,525 WEST  50TH STREET,MANHATTAN,4.0,3.0,135,Clinton,18.0,54066.0
02M305,0.6779999999999999,0.5479999999999999,0.7829999999999999,0.644,0.83,0.6,0.87,0.69,350 GRAND STREET,MANHATTAN,3.0,1.0,18,Chinatown,7.0,56355.0
02M308,0.762,0.478,0.6829999999999999,0.5870000000000001,0.75,0.52,0.72,0.61,350 GRAND STREET,MANHATTAN,3.0,1.0,18,Chinatown,7.0,56355.0
02M316,0.8029999999999999,0.64,0.705,0.639,0.75,0.48,0.77,0.62,26 BROADWAY,MANHATTAN,1.0,1.0,9,Battery Park City-Lower Manhattan,1.0,66679.0
02M374,0.778,0.40399999999999997,0.742,0.479,0.77,0.5,0.74,0.54,40 IRVING PLACE,MANHATTAN,6.0,2.0,50,Gramercy,13.0,93640.0
02M400,0.8320000000000001,0.7559999999999999,0.821,0.812,0.83,0.64,0.84,0.7,444 WEST 56 STREET,MANHATTAN,4.0,3.0,139,Clinton,18.0,54066.0
