DBN,Grad_rate,Coll_rate,NTA,School Year
31R455,0.85,0.66,Annadale-Huguenot-Prince's Bay-Eltingville,2013-14
30Q445,0.69,0.46,Astoria,2013-14
30Q450,0.63,0.43,Astoria,2013-14
30Q501,0.98,0.8,Astoria,2013-14
25Q285,0.95,0.8,Auburndale,2013-14
26Q430,0.86,0.74,Auburndale,2013-14
28Q690,0.74,0.5,Baisley Park,2013-14
02M316,0.77,0.62,Battery Park City-Lower Manhattan,2013-14
02M418,0.99,0.88,Battery Park City-Lower Manhattan,2013-14
02M425,0.64,0.41,Battery Park City-Lower Manhattan,2013-14
02M475,0.99,0.97,Battery Park City-Lower Manhattan,2013-14
02M489,0.82,0.7,Battery Park City-Lower Manhattan,2013-14
02M551,0.76,0.51,Battery Park City-Lower Manhattan,2013-14
02M580,0.71,0.59,Battery Park City-Lower Manhattan,2013-14
20K485,0.87,0.7,Bay Ridge,2013-14
20K490,0.68,0.58,Bay Ridge,2013-14
26Q495,0.91,0.79,Bayside-Bayside Hills,2013-14
13K595,0.98,0.79,Bedford,2013-14
26Q435,0.54,0.45,Bellerose,2013-14
26Q566,0.9,0.74,Bellerose,2013-14
10X243,0.65,0.4,Belmont,2013-14
10X434,0.7,0.48,Belmont,2013-14
10X437,0.77,0.44,Belmont,2013-14
10X438,0.4,0.22,Belmont,2013-14
10X439,0.75,0.41,Belmont,2013-14
20K445,0.7,0.54,Bensonhurst West,2013-14
21K690,0.78,0.55,Bensonhurst West,2013-14
20K505,0.58,0.49,Borough Park,2013-14
27Q262,0.97,0.66,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2013-14
28Q505,0.74,0.6,Briarwood-Jamaica Hills,2013-14
28Q620,0.88,0.67,Briarwood-Jamaica Hills,2013-14
21K620,0.57,0.27,Brighton Beach,2013-14
11X288,0.82,0.72,Bronxdale,2013-14
11X299,0.65,0.49,Bronxdale,2013-14
11X542,0.89,0.79,Bronxdale,2013-14
23K514,0.53,0.37,Brownsville,2013-14
23K697,0.67,0.47,Brownsville,2013-14
32K403,0.62,0.36,Bushwick North,2013-14
32K549,0.69,0.31,Bushwick North,2013-14
32K552,0.48,0.31,Bushwick North,2013-14
32K554,0.94,0.74,Bushwick North,2013-14
14K474,0.59,0.35,Bushwick South,2013-14
14K477,0.54,0.27,Bushwick South,2013-14
14K478,0.76,0.71,Bushwick South,2013-14
32K545,0.59,0.53,Bushwick South,2013-14
32K556,0.68,0.38,Bushwick South,2013-14
29Q492,0.66,0.5,Cambria Heights,2013-14
29Q498,0.78,0.49,Cambria Heights,2013-14
