School Year,Building Code,DBN,Location Code,Location Name,Major Crime,Other Crime,Non Criminal,Property Crime,Violent Crime,NTA
2013-14,K001,15K001,K001,P.S. 001 The Bergen,0.0,2.0,1.0,1.0,0.0,Sunset Park West
2013-14,K002,0,0,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,1.0,5.0,2.0,2.0,4.0,Prospect Lefferts Gardens-Wingate
2013-14,K003,13K003,K003,P.S. 003 The Bedford Village,2.0,0.0,0.0,2.0,0.0,Clinton Hill
2013-14,K005,16K005,K005,P.S. 005 Dr. Ronald Mcnair,1.0,1.0,0.0,2.0,0.0,Stuyvesant Heights
2013-14,K006,17K006,K006,P.S. 006,0.0,1.0,2.0,0.0,0.0,Erasmus
2013-14,K007,19K007,K007,P.S. 007 Abraham Lincoln,0.0,1.0,0.0,0.0,0.0,Cypress Hills-City Line
2013-14,K009,0,0,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0.0,1.0,1.0,1.0,0.0,Prospect Heights
2013-14,K010,15K010,K010,"Magnet School of Math, Science and Design Technolo",0.0,1.0,0.0,0.0,1.0,Park Slope-Gowanus
2013-14,K011,13K011,K011,P.S. 011 Purvis J. Behan,1.0,0.0,1.0,1.0,0.0,Clinton Hill
2013-14,K107,15K107,K107,P.S. 107 John W. Kimball,0.0,1.0,0.0,1.0,0.0,Park Slope-Gowanus
2013-14,K012,0,0,430 HOWARD AVENUE CONSOLIDATED LOCATION,2.0,3.0,3.0,5.0,0.0,Ocean Hill
2013-14,K013,0,0,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,0.0,1.0,4.0,0.0,1.0,East New York (Pennsylvania Ave)
2013-14,K014,22K014,K014,J.H.S. 014 Shell Bank,0.0,4.0,2.0,3.0,0.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2013-14,K015,15K015,K015,P.S. 015 Patrick F. Daly,0.0,1.0,1.0,1.0,0.0,Carroll Gardens-Columbia Street-Red Hook
2013-14,K016,0,0,157 WILSON STREET CONSOLIDATED LOCATION,0.0,0.0,2.0,0.0,0.0,Williamsburg
2013-14,K017,0,0,208 NORTH  5 STREET CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,North Side-South Side
2013-14,K018,14K018,K018,P.S. 018 Edward Bush,1.0,2.0,1.0,3.0,0.0,East Williamsburg
2013-14,K019,0,0,325 SOUTH  3 STREET CONSOLIDATED LOCATION,0.0,1.0,1.0,1.0,0.0,North Side-South Side
2013-14,K020,0,0,225 ADELPHI STREET CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,Fort Greene
2013-14,K021,16K021,K021,P.S. 021 Crispus Attucks,0.0,1.0,1.0,1.0,0.0,Crown Heights North
2013-14,K022,0,0,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2.0,0.0,2.0,2.0,0.0,Crown Heights North
2013-14,K102,20K102,K102,P.S. 102 The Bayview,0.0,1.0,1.0,1.0,0.0,Bay Ridge
