Total Population,Did Not Grad HS,Grad HS or Higher,Bachelor Degree or Higher,households,NTA,Median Household Income,Total Pop 25 and over,Pct Did Not Grad HS,Pct Grad HS or Higher,Pct Bachelor Degree or Higher,graduation_rate_2014,college_career_rate_2014
61584,6094,39445,16743,25070,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1054259.0,45539,0.1338193636223896,0.8661806363776104,0.3676628823645666,0.96,0.91
100130,14357,52523,16187,40818,Crown Heights North,980637.0,66880,0.21466806220095694,0.7853319377990431,0.2420305023923445,0.545,0.41000000000000003
33155,5964,19097,9312,14888,East Williamsburg,519058.0,25061,0.23797933043374167,0.7620206695662584,0.37157336099916205,0.75,0.595
28727,1787,17929,6037,9786,Annadale-Huguenot-Prince's Bay-Eltingville,521048.0,19716,0.09063704605396632,0.9093629539460337,0.3061980117670927,0.85,0.66
53800,9477,24580,5710,18657,Soundview-Castle Hill-Clason Point-Harding Park,490852.0,34057,0.2782687846844995,0.7217312153155004,0.16766009924538275,0.618,0.364
60575,8224,37864,17313,26309,Hunters Point-Sunnyside-West Maspeth,,46088,0.17844124283978477,0.8215587571602152,0.3756509286582191,0.8174999999999999,0.6475000000000001
50294,7666,22544,7022,16060,Far Rockaway-Bayswater,354594.0,30210,0.25375703409467065,0.7462429659053293,0.23243958953988744,0.59,0.38
416,73,178,128,170,park-cemetery-etc-Brooklyn,,251,0.2908366533864542,0.7091633466135459,0.5099601593625498,0.5,0.31
46104,5669,25457,6976,16655,Schuylerville-Throgs Neck-Edgewater Park,958549.0,31126,0.18213069459615755,0.8178693054038424,0.22412131337145794,0.625,0.455
26959,2854,15482,3582,9939,Springfield Gardens North,169006.0,18336,0.1556500872600349,0.8443499127399651,0.19535340314136126,0.712,0.43000000000000005
15472,1272,12146,5413,8026,West Brighton,158958.0,13418,0.09479803249366522,0.9052019675063347,0.4034133253838128,0.695,0.565
69397,8671,37883,10320,26016,Prospect Lefferts Gardens-Wingate,726125.0,46554,0.18625682003694635,0.8137431799630537,0.22167805129527002,0.7933333333333333,0.5133333333333333
37506,1149,26679,22078,18931,Battery Park City-Lower Manhattan,904097.0,27828,0.04128934885726606,0.9587106511427339,0.7933735805663361,0.8114285714285714,0.6685714285714285
91956,13229,40343,6479,30771,East New York,936755.0,53572,0.24693869932054058,0.7530613006794594,0.12094004330620474,0.79,0.49333333333333335
31214,3313,16258,5655,11686,West New Brighton-New Brighton-St. George,520272.0,19571,0.16928107914771856,0.8307189208522814,0.2889479331664197,0.775,0.49
33532,3520,18224,7133,11797,Pomonok-Flushing Heights-Hillcrest,436329.0,21744,0.16188373804267844,0.8381162619573216,0.32804451802796175,0.95,0.91
50358,10590,23583,10385,18168,Marble Hill-Inwood,301285.0,34173,0.3098937757879027,0.6901062242120972,0.3038948877768999,0.7175,0.5675
26982,3649,15358,9163,11560,Fort Greene,593123.0,19007,0.1919819014047456,0.8080180985952544,0.48208554742989423,0.8200000000000001,0.635
46694,5240,26167,13205,18506,Central Harlem South,461086.0,31407,0.1668417868628013,0.8331582131371987,0.4204476709013914,0.615,0.325
41243,5040,19562,5825,14662,Crown Heights South,358170.0,24602,0.20486139338265183,0.7951386066173481,0.23676936834403706,0.7183333333333334,0.48
33728,6374,16346,4211,13479,Bronxdale,282549.0,22720,0.2805457746478873,0.7194542253521127,0.18534330985915493,0.7866666666666666,0.6666666666666666
54091,12232,22845,5498,16253,Corona,500159.0,35077,0.3487185335119879,0.6512814664880121,0.15674088434016592,0.85,0.58
29543,2463,18861,7616,11319,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,654845.0,21324,0.11550365785030951,0.8844963421496905,0.3571562558619396,0.97,0.66
41871,9212,13967,2241,14245,East Tremont,248589.0,23179,0.3974287070192847,0.6025712929807153,0.09668234177488244,0.62,0.41
